Expectativa;Indicador;Dimensión
Activar huertas urbanas;Activar Huertas Urbanas;Agroecología y huertas
Agroecología Urbana;Activar Huertas Urbanas;Agroecología y huertas
AgroEcología;Activar Huertas Urbanas;Agroecología y huertas
Huertas comunitarias;Activar Huertas Urbanas;Agroecología y huertas
Producir Alimento;Prácticas de cultivo;Agroecología y huertas
Cosechar;Prácticas de cultivo;Agroecología y huertas
Cultivar;Prácticas de cultivo;Agroecología y huertas
Experiencias y prácticas de cultivo;Prácticas de cultivo;Agroecología y huertas
Encuentros;Comunidad;Apoyo Mútuo
Mingas;Comunidad;Apoyo Mútuo
Accionar cooperativo;Cooperación;Apoyo Mútuo
Trabajos colaborativos;Cooperación;Apoyo Mútuo
Trabajos comunitarios;Cooperación;Apoyo Mútuo
Local / Nacional;Articular;Horizonte Normativo
Articulación política;Articular;Horizonte Normativo
Articulación territorial;Articular;Horizonte Normativo
Defender el propósito ante autoridades;Defender;Horizonte Normativo
Defender la tierra y el agua;Defender;Horizonte Normativo
Defender Semillas;Defender;Horizonte Normativo
Defender Semillas;Defender;Horizonte Normativo
Promover Soberanía Alimentaria;Soberanía Alimentaria;Horizonte Normativo
Soberanía Alimentaria;Soberanía Alimentaria;Horizonte Normativo
Fuerte comunicación para posicionar la soberanía alimentaria;Soberanía Alimentaria;Horizonte Normativo
Destruir el patriarcado extractivista;Transformación;Horizonte Normativo
Llevar políticas públicas;Transformación;Horizonte Normativo
Presencia en las demandas populares;Transformación;Horizonte Normativo
Recuperación de espacios públicos;Transformación;Horizonte Normativo
Favorecer la comunidad de la vida;Visión de futuro;Horizonte Normativo
Inspiración ;Visión de futuro;Horizonte Normativo
Perseverancia;Visión de futuro;Horizonte Normativo
Visión de futuro regenerativo;Visión de futuro;Horizonte Normativo
Movimiento amplio y articulado;Amplitud;Identidad
Ser un movimiento social;Union;Identidad
Una sola voz;Union;Identidad
Unificar el movimiento;Union;Identidad
Unión;Union;Identidad
Gestión de recursos;Recursos;Orgánica
Organización sustentable;Recursos;Orgánica
Encuentros permanentes;Tiempo;Orgánica
Organica que dure en el tiempo;Tiempo;Orgánica
Espacios de apoyo;Apoyos;Redes
Redes de apoyo;Apoyos;Redes
Redes de apoyo técnicas y educativas;Apoyos;Redes
Red de insumos;Insumos;Redes
Red de insumos;Insumos;Redes
Intercambio de semillas;Semillas;Redes
Aprender de la experiencia;Aprender;Aprendizajes
Aprender experiencias diversas;Aprender;Aprendizajes
Asesorías para postular a proyectos;Asesorias;Aprendizajes
Capacitación y formación de capital humano;Capacitaciones;Aprendizajes
Educación Ambiental;Educación Ambiental;Aprendizajes
Educación Popular Medioambiental;Educación Ambiental;Aprendizajes
Generar Conocimiento;Generar conocimiento;Aprendizajes
Generar Educación;Generar conocimiento;Aprendizajes
Compartir Conocimiento;Intercambio de saberes;Aprendizajes
Compartir conocimiento/talleres;Intercambio de saberes;Aprendizajes
Compartir experiencias;Intercambio de saberes;Aprendizajes
Compartir experiencias;Intercambio de saberes;Aprendizajes
Compartir saberes;Intercambio de saberes;Aprendizajes
Intercambiar saberes;Intercambio de saberes;Aprendizajes
Intercambiar saberes;Intercambio de saberes;Aprendizajes
Intercambio de conocimiento;Intercambio de saberes;Aprendizajes
Intercambio de experiencias;Intercambio de saberes;Aprendizajes
Intercambio de saberes;Intercambio de saberes;Aprendizajes
